referencia_busca_cliente;referencia;numero;recorrencia;;id_importacao_pessoa;Plano;servicos.referencia;servicos.quantidade;data_vigencia_inicial;data_vigencia_final;servicos.valor_unitario;dia_vencimento;data_primeiro_vencimento;Último Reajuste;data_proximo_reajuste;indice_reajuste;codigo_vendedor;codigo_forma_pagamento;codigo_banco_conta;tipo_faturamento
1;32;32;1;;31;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;16/03/2023;31/12/2031;728,08;15;15/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;99;99;1;;32;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;19/02/2021;31/12/2030;809,09;15;15/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;101;101;1;;33;Pabx Físico (JT Tecnologia) - Mensal;7;1;31/01/2022;31/12/2030;379,18;15;15/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;103;103;1;;35;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;15/06/2021;31/12/2030;412,69;24;24/05/2025;03/06/2024;03/06/2025;1;1;5;3;0
1;105;105;1;;36;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;04/04/2022;31/12/2030;601,49;24;24/05/2025;03/04/2025;03/04/2026;1;1;5;3;0
1;107;107;1;;37;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;22/03/2021;31/12/2030;808,48;15;15/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;109;109;1;;38;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;17/03/2021;31/12/2030;439,89;15;15/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;111;111;1;;39;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;17/03/2021;31/12/2030;1203,20;15;15/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;113;113;1;;41;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;16/05/2022;31/12/2030;859,26;24;24/05/2025;08/05/2025;08/05/2026;1;1;5;3;0
1;115;115;1;;42;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;30/11/2021;31/12/2030;629,15;24;24/05/2025;24/10/2024;24/10/2025;1;1;5;3;0
1;117;117;1;;43;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;17/03/2021;31/12/2030;439,89;15;15/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;119;119;1;;44;Pabx Físico (JT Tecnologia) - Mensal;7;1;06/04/2022;29/01/2024;1052,54;24;24/05/2025;;;1;1;5;3;0
1;121;121;1;;44;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;04/11/2022;29/01/2024;893,06;24;24/05/2025;;;1;1;5;3;0
1;123;123;1;;40;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;31/05/2023;31/12/2030;630,23;15;15/05/2025;08/05/2025;08/05/2026;1;1;5;3;0
1;125;125;1;;45;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;07/08/2023;31/12/2030;488,79;5;5/05/2025;23/09/2024;23/09/2025;1;1;5;3;0
1;127;127;1;;46;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;30/06/2023;31/12/2030;388,73;15;15/05/2025;03/06/2024;03/06/2025;1;1;5;3;0
1;129;129;1;;47;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;31/01/2022;31/01/2031;523,80;24;24/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;131;131;1;;48;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;11/01/2022;07/10/2024;285,72;24;24/05/2025;;;1;1;5;3;0
1;133;133;1;;49;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;03/11/2021;31/12/2030;696,99;24;24/05/2025;24/10/2024;24/10/2025;1;1;5;3;0
1;135;135;1;;50;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;04/11/2022;26/08/2024;488,08;24;24/05/2025;;;1;1;5;3;0
1;137;137;1;;51;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;07/01/2021;31/12/2030;637,83;15;15/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;140;140;1;;52;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;04/11/2022;31/12/2030;454,73;24;24/05/2025;24/10/2024;24/10/2025;1;1;5;3;0
1;144;144;1;;53;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;11/01/2022;03/06/2024;285,72;24;24/05/2025;;;1;1;5;3;0
1;146;146;1;;54;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;10/08/2021;31/12/2030;447,14;24;24/05/2025;23/09/2024;23/09/2025;1;1;5;3;0
1;148;148;1;;55;Tronco Sip (JT Tecnologia) - Mensal;9;1;12/09/2019;18/01/2024;911,29;2;2/05/2025;;;1;1;5;3;0
1;150;150;1;;56;Discador Preditivo (JT Tecnologia) - Mensal;6;1;16/02/2023;26/01/2024;4859,95;26;26/05/2025;;;1;1;5;3;0
1;152;152;1;;56;0800/400x Virtual (JT Tecnologia) - Mensal;2;1;05/09/2022;26/01/2024;214,34;26;26/05/2025;;;1;1;5;3;0
1;156;156;1;;57;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;24/02/2021;31/12/2030;443,42;15;15/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;158;158;1;;58;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;13/01/2020;31/12/2030;749,66;2;2/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;160;160;1;;59;0800/400x Virtual (JT Tecnologia) - Mensal;2;1;05/10/2023;08/01/2024;99,90;5;5/05/2025;;;1;1;5;3;0
1;162;162;1;;60;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;23/11/2022;24/10/2024;249,91;24;24/05/2025;24/10/2024;;1;1;5;3;0
1;164;164;1;;61;Pabx Físico (JT Tecnologia) - Mensal;7;1;17/09/2021;18/01/2024;1232,00;24;24/05/2025;;;1;1;5;3;0
1;166;166;1;;62;Pabx Físico (JT Tecnologia) - Mensal;7;1;05/06/2017;31/12/2030;571,01;2;2/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;168;168;1;;63;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;19/03/2020;31/12/2030;727,41;5;5/05/2025;23/09/2024;23/09/2025;1;1;5;3;0
1;170;170;1;;64;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;30/01/2023;31/12/2030;497,40;5;5/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;172;172;1;;65;Pabx Físico (JT Tecnologia) - Mensal;7;1;29/05/2018;31/01/2025;1313,67;2;2/05/2025;24/10/2024;;1;1;5;3;0
1;174;174;1;;66;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;03/10/2022;30/09/2024;2102,52;24;24/05/2025;23/09/2024;;1;1;5;3;0
1;176;176;1;;67;Pabx Físico (JT Tecnologia) - Mensal;7;1;13/12/2021;31/12/2030;684,24;15;15/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;178;178;1;;68;Pabx Físico (JT Tecnologia) - Mensal;7;1;16/01/2020;09/05/2025;548,45;2;2/05/2025;06/01/2025;;1;1;5;3;0
1;180;180;1;;69;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;10/09/2021;31/12/2030;573,31;24;24/05/2025;23/09/2024;23/09/2025;1;1;5;3;0
1;182;182;1;;70;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;14/04/2021;31/12/2030;231,65;15;15/05/2025;03/04/2025;03/04/2026;1;1;5;3;0
1;184;184;1;;71;Pabx Físico (JT Tecnologia) - Mensal;7;1;10/11/2021;18/01/2024;998,42;15;15/05/2025;;;1;1;5;3;0
1;186;186;1;;72;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;30/03/2021;31/12/2030;314,27;5;5/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;188;188;1;;73;Pabx Físico (JT Tecnologia) - Mensal;7;1;04/11/2016;06/08/2024;314,46;2;2/05/2025;;;1;1;5;3;0
1;190;190;1;;74;Pabx Físico (JT Tecnologia) - Mensal;7;1;04/10/2022;31/12/2030;350,35;2;2/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;192;192;1;;34;Discador Preditivo (JT Tecnologia) - Mensal;6;1;06/11/2023;02/04/2025;699,61;2;2/05/2025;24/10/2024;;1;1;5;3;0
1;196;196;1;;76;Discador Preditivo (JT Tecnologia) - Mensal;6;1;26/09/2023;11/06/2024;720,00;15;15/05/2025;;;1;1;5;3;0
1;199;199;1;;77;Pabx Físico (JT Tecnologia) - Mensal;7;1;13/06/2022;24/12/2030;633,26;5;5/05/2025;03/06/2024;03/06/2025;1;1;5;3;0
1;201;201;1;;78;Pabx Físico (JT Tecnologia) - Mensal;7;1;03/10/2017;31/12/2030;1585,36;2;2/05/2025;03/04/2025;03/04/2026;1;1;5;3;0
1;203;203;1;;79;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;05/04/2021;31/12/2030;872,00;15;15/05/2025;03/04/2025;03/04/2026;1;1;5;3;0
1;205;205;1;;80;Discador Preditivo (JT Tecnologia) - Mensal;6;1;09/03/2016;18/01/2024;467,00;2;2/05/2025;;;1;1;5;3;0
1;207;207;1;;81;Pabx Físico (JT Tecnologia) - Mensal;7;1;01/10/2019;31/12/2030;740,12;2;2/05/2025;24/10/2024;24/10/2025;1;1;5;3;0
1;210;210;1;;124;Pabx Físico (JT Tecnologia) - Mensal;7;1;15/09/2019;31/12/2030;538,51;2;2/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;212;212;1;;82;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;06/01/2020;18/01/2024;385,02;5;5/05/2025;;;1;1;5;3;0
1;215;215;1;;83;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;31/03/2023;31/12/2030;273,60;5;5/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;217;217;1;;84;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;27/05/2021;31/01/2025;882,46;15;15/05/2025;02/05/2024;;1;1;5;3;0
1;219;219;1;;85;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;20/01/2022;31/12/2030;2206,47;24;24/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;221;221;1;;86;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;01/06/2023;31/12/2030;484,15;5;5/05/2025;03/06/2024;03/06/2025;1;1;5;3;0
1;223;223;1;;87;Pabx Físico (JT Tecnologia) - Mensal;7;1;20/05/2020;18/01/2024;426,00;5;5/05/2025;;;1;1;5;3;0
1;225;225;1;;88;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;19/09/2022;31/12/2030;317,27;24;24/05/2025;23/09/2024;23/09/2025;1;1;5;3;0
1;227;227;1;;89;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;14/01/2020;31/12/2030;502,85;2;2/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;229;229;1;;90;Pabx Físico (JT Tecnologia) - Mensal;7;1;29/01/2021;31/12/2030;1261,31;15;15/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;233;233;1;;92;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;16/03/2023;07/05/2025;480,64;15;15/05/2025;06/01/2025;;1;1;5;3;0
1;235;235;1;;93;Pabx Físico (JT Tecnologia) - Mensal;7;1;20/07/2020;31/01/2024;876,28;15;15/05/2025;;;1;1;5;3;0
1;237;237;1;;94;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;02/06/2021;31/12/2030;636,65;24;24/05/2025;03/06/2024;03/06/2025;1;1;5;3;0
1;239;239;1;;95;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;27/12/2021;;400,92;24;24/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;241;241;1;;95;0800/400x Virtual (JT Tecnologia) - Mensal;2;1;27/12/2021;31/12/2030;232,65;24;24/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;243;243;1;;96;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;29/06/2020;31/12/2030;919,70;1;1/05/2025;03/06/2024;03/06/2025;1;1;5;3;0
1;245;245;1;;98;Pabx Físico (JT Tecnologia) - Mensal;7;1;11/03/2021;12/10/2024;965,56;15;15/05/2025;01/03/2024;;1;1;5;3;0
1;247;247;1;;99;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;20/07/2023;31/12/2030;187,07;5;5/05/2025;02/07/2024;02/07/2025;1;1;5;3;0
1;249;249;1;;100;Pabx Físico (JT Tecnologia) - Mensal;7;1;28/02/2023;18/01/2024;1042,95;2;2/05/2025;;;1;1;5;3;0
1;251;251;1;;101;Pabx Físico (JT Tecnologia) - Mensal;7;1;02/03/2017;31/12/2030;374,43;2;2/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;253;253;1;;102;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;04/05/2022;31/12/2030;434,80;24;24/05/2025;08/05/2025;08/05/2026;1;1;5;3;0
1;255;255;1;;103;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;18/06/2021;31/12/2030;314,06;24;24/05/2025;03/06/2024;03/06/2025;1;1;5;3;0
1;257;257;1;;104;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;13/10/2021;29/03/2025;260,50;24;24/05/2025;23/09/2024;;1;1;5;3;0
1;259;259;1;;105;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;15/04/2023;31/12/2030;810,90;15;15/05/2025;03/04/2025;03/04/2026;1;1;5;3;0
1;261;261;1;;106;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;26/05/2021;23/02/2024;459,41;24;24/05/2025;;;1;1;5;3;0
1;263;263;1;;107;Pabx Físico (JT Tecnologia) - Mensal;7;1;16/06/2020;31/01/2024;501,29;2;2/05/2025;;;1;1;5;3;0
1;265;265;1;;108;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;25/10/2023;31/12/2030;473,94;15;15/05/2025;31/10/2024;31/10/2025;1;1;5;3;0
1;267;267;1;;109;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;07/05/2020;31/12/2030;2185,93;2;2/05/2025;08/05/2025;08/05/2026;1;1;5;3;0
1;269;269;1;;110;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;27/09/2022;06/05/2024;320,43;24;24/05/2025;;;1;1;5;3;0
1;271;271;1;;111;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;23/08/2021;31/12/2030;457,77;24;24/05/2025;23/09/2024;23/09/2025;1;1;5;3;0
1;273;273;1;;112;Pabx Físico (JT Tecnologia) - Mensal;7;1;09/03/2022;18/01/2024;439,19;15;15/05/2025;;;1;1;5;3;0
1;275;275;1;;113;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;01/10/2020;18/01/2024;129,00;15;15/05/2025;;;1;1;5;3;0
1;277;277;1;;114;0800/400x Virtual (JT Tecnologia) - Mensal;2;1;21/11/2019;04/01/2024;166,87;5;5/05/2025;;;1;1;5;3;0
1;279;279;1;;115;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;11/09/2020;31/12/2030;729,58;15;15/05/2025;23/09/2024;23/09/2025;1;1;5;3;0
1;281;281;1;;116;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;29/03/2023;31/12/2030;628,20;2;2/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;285;285;1;;117;Pabx Físico (JT Tecnologia) - Mensal;7;1;23/11/2022;18/01/2024;329,00;24;24/05/2025;;;1;1;5;3;0
1;287;287;1;;118;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;06/04/2021;28/02/2025;180,11;5;5/05/2025;01/04/2024;;1;1;5;3;0
1;289;289;1;;119;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;27/04/2020;31/12/2030;497,61;2;2/05/2025;03/06/2024;03/06/2025;1;1;5;3;0
1;291;291;1;;120;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;10/11/2021;02/09/2024;403,92;2;2/05/2025;;;1;1;5;3;0
1;293;293;1;;121;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;14/09/2020;30/09/2024;1233,22;15;15/05/2025;01/03/2024;;1;1;5;3;0
1;295;295;1;;122;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;13/05/2022;31/12/2030;256,97;15;15/05/2025;08/05/2025;08/05/2026;1;1;5;3;0
1;297;297;1;;123;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;14/02/2023;13/04/2024;573,54;15;15/05/2025;02/02/2024;;1;1;5;3;0
1;299;299;1;;75;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;06/12/2023;04/04/2024;349,95;5;5/05/2025;;;1;1;5;3;0
1;302;302;1;;125;Discador Preditivo (JT Tecnologia) - Mensal;6;1;01/12/2023;31/05/2024;1762,50;2;2/05/2025;;;1;1;5;3;0
1;305;305;1;;126;Discador Preditivo (JT Tecnologia) - Mensal;6;1;05/12/2023;31/12/2030;377,14;15;15/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;308;308;1;;127;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;21/12/2023;31/12/2030;188,56;2;2/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;319;319;1;;129;0800/400x Virtual (JT Tecnologia) - Mensal;2;1;02/01/2024;30/06/2034;208,47;15;15/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;321;321;1;;129;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;02/01/2024;15/05/2024;205,00;15;15/05/2025;;;1;1;5;3;0
1;324;324;1;;130;Chatbot (JT Tecnologia) - Mensal;4;1;03/01/2024;;204,27;2;2/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;327;327;1;;131;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;03/01/2024;14/06/2024;399,99;15;15/05/2025;;;1;1;5;3;0
1;331;331;1;;133;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;10/01/2024;19/01/2024;179,99;10;10/05/2025;;;1;1;5;3;0
1;334;334;1;;134;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;10/01/2024;;502,84;2;2/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
