cnpj_cpf_cliente,referencia,referencia_busca_cliente,data_primeiro_vencimento,dia_vencimento,descricao,numero,codigo_vendedor,data_vigencia_inicial,data_vigencia_final,situacao,recorrencia,tipo_faturamento,indice_reajuste,codigo_banco_conta,codigo_forma_pagamento,codigo_plano_contas,codigo_condicao_pagamento,observacao_fiscal,observacao_nao_fiscal,data_proximo_reajuste,servicos.referencia,servicos.quantidade,servicos.valor_unitario,servicos.complemento,tipo_desconto_boleto_ate_vencimento,valor_desconto_boleto_ate_vencimento,id_importacao_pessoa,Mensagem,Id
,2127,1,10/06/2025,10,,,18,01/05/2002,,,1,1,0,2,5,133,0,,,03/04/2026,116,1,"164,54",,0,0,8363,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,2127,1,17/06/2025,17,,,18,01/07/2020,30/04/2021,,1,1,0,2,5,7,0,,,,53,1,4050,,0,0,8363,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,2127,1,10/06/2025,10,,,18,01/08/2020,,,1,1,0,2,5,133,0,,,01/08/2025,4,14,"31,17",,0,0,8363,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,2127,1,15/06/2025,15,,,18,01/04/2021,30/04/2021,,1,1,0,2,5,7,0,,,,14,1,250,,0,0,8363,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,2127,1,10/06/2025,10,,,18,10/11/2021,25/07/2022,,1,1,0,2,5,133,0,,,,4,1,160,,0,0,8363,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,2127,1,10/06/2025,10,,,18,01/05/2023,,,1,1,0,2,5,133,0,,,05/05/2026,120,1,"130,21",,0,0,8363,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,2127,1,10/06/2025,10,,,18,01/05/2023,,,1,1,0,2,5,133,0,,,05/05/2026,95,2,"48,83",,0,0,8363,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,2127,1,10/06/2025,10,,,18,01/05/2023,,,1,1,0,2,5,133,0,,,05/05/2026,117,1,"48,83",,0,0,8363,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,2127,1,10/06/2025,10,,,18,01/05/2023,,,1,1,0,2,5,133,0,,,05/05/2026,18,2,"103,09",,0,0,8363,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,4687,1,03/06/2025,3,,,4,01/02/2004,,,1,1,0,2,5,133,0,,,,95,2,"0,01",,0,0,5707,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,4687,1,03/06/2025,3,,,4,01/02/2024,,,1,1,0,2,5,133,0,,,04/02/2026,4,4,"95,73",,0,0,5707,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,4687,1,03/06/2025,3,,,4,01/02/2024,,,1,1,0,2,5,133,0,,,04/02/2026,116,1,140,,0,0,5707,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,4687,1,03/06/2025,3,,,4,01/02/2024,,,1,1,0,2,5,133,0,,,04/02/2026,95,2,"37,39",,0,0,5707,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,1134,1,03/06/2025,3,,159,10,01/05/2016,,,1,0,0,3,5,7,0,,,02/07/2025,4,12,"34,18",,0,0,5458,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,1134,1,03/06/2025,3,,159,10,01/07/2023,,,1,0,0,3,5,7,0,,,02/07/2025,95,2,"43,74",,0,0,5458,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,1134,1,15/06/2025,15,,159,10,15/08/2023,15/08/2023,,1,0,0,3,5,7,0,,,,14,1,1922,,0,0,5458,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,1134,1,04/06/2025,4,,159,10,03/12/2024,17/04/2025,,1,0,0,3,5,7,0,,,,117,6,45,,0,0,5458,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,390,1,05/06/2025,5,,6436,29,01/08/2017,,,1,1,0,2,5,133,0,,,02/07/2025,4,2,"102,83",,0,0,6436,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,390,1,05/06/2025,5,,6436,29,01/10/2020,28/02/2021,,1,1,0,2,5,133,0,,,,97,1,149,,0,0,6436,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,390,1,05/06/2025,5,,6436,29,01/09/2023,,,1,1,0,2,5,133,0,,,,95,1,"0,01",,0,0,6436,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,390,1,05/06/2025,5,,6436,29,01/09/2023,,,1,1,0,2,5,133,0,,,03/09/2025,95,4,"41,65",,0,0,6436,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,390,1,05/06/2025,5,,6436,29,01/09/2023,,,1,1,0,2,5,133,0,,,03/09/2025,117,2,"41,65",,0,0,6436,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,390,1,05/06/2025,5,,6436,29,05/04/2024,,,1,1,0,2,5,133,0,,,03/04/2026,131,1,"64,33",,0,0,6436,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,390,1,05/06/2025,5,,6436,29,16/07/2024,,,1,1,0,2,5,133,0,,,,120,1,"0,01",,0,0,6436,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,390,1,05/06/2025,5,,6436,29,05/12/2024,,,1,1,0,2,5,133,0,,,,18,1,160,,0,0,6436,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,2637,1,30/06/2025,30,,,4,28/11/2017,,,1,1,0,2,5,133,0,,,04/06/2025,4,8,"65,02",,0,0,5747,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,2637,1,30/06/2025,30,,,4,02/02/2023,,,1,1,0,2,5,133,0,,,04/02/2026,95,16,"51,64",,0,0,5747,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,2,1,10/06/2025,10,,15,32,01/01/2018,,,1,1,0,2,5,133,0,,,02/07/2025,4,1,"759,9",,0,0,7030,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,1024,1,05/06/2025,5,,2009,29,01/01/2018,,,1,1,0,2,5,133,0,,,02/07/2025,4,1,"294,82",,0,0,6434,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,1024,1,05/06/2025,5,,2009,29,05/03/2024,,,1,1,0,2,5,133,0,,,03/03/2026,18,1,"172,72",,0,0,6434,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,143,1,05/06/2025,5,,325,10,01/02/2019,,,1,1,0,2,5,133,0,,,01/08/2025,4,2,"126,99",,0,0,5615,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,143,1,05/06/2025,5,,325,10,01/04/2023,,,1,1,0,2,5,133,0,,,03/04/2026,95,2,"40,51",,0,0,5615,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,143,1,28/06/2025,28,,325,10,28/05/2023,28/05/2023,,1,1,0,2,5,132,0,,,,14,1,440,,0,0,5615,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,1332,1,10/06/2025,10,,96,32,25/05/2019,,,1,1,0,2,5,133,0,,,02/07/2025,4,1,"163,13",,0,0,5149,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,1753,1,25/06/2025,25,,1611,26,30/05/2019,,,1,1,0,2,5,133,0,,,02/07/2025,119,1,"219,01",,0,0,7908,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,256,1,05/06/2025,5,,465,16,01/06/2019,,,1,1,0,2,5,133,0,,,02/07/2025,4,1,"202,46",,0,0,6164,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,471,1,10/06/2025,10,,684,18,01/06/2019,,,1,1,0,2,5,133,0,,,02/07/2025,4,2,"94,15",,0,0,5283,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,609,1,05/06/2025,5,,850,96,01/06/2019,,,1,0,0,3,5,7,0,,,02/07/2025,4,5,"115,52",,0,0,5612,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,609,1,05/06/2025,5,,850,96,05/03/2022,05/03/2022,,1,0,0,3,5,7,0,,,,100,1,140,,0,0,5612,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,609,1,05/06/2025,5,,850,96,05/04/2022,,,1,0,0,3,5,7,0,,,03/04/2026,18,1,"154,62",,0,0,5612,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,609,1,04/06/2025,4,,850,96,01/04/2023,05/04/2023,,1,0,0,3,5,7,0,,,,18,1,50,,0,0,5612,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,609,1,05/06/2025,5,,850,96,01/04/2023,05/04/2023,,1,0,0,3,5,7,0,,,,18,1,50,,0,0,5612,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,609,1,05/06/2025,5,,850,96,10/05/2023,,,1,0,0,3,5,7,0,,,,127,3,"0,01",,0,0,5612,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,609,1,05/06/2025,5,,850,96,01/01/2024,26/11/2024,,1,0,0,3,5,7,0,,,,135,1,100,,0,0,5612,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,609,1,05/06/2025,5,,850,96,01/03/2024,,,1,0,0,3,5,7,0,,,03/03/2026,18,1,"110,65",,0,0,5612,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,609,1,05/06/2025,5,,850,96,05/03/2024,,,1,0,0,3,5,7,0,,,03/03/2026,95,1,"53,98",,0,0,5612,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,636,1,05/06/2025,5,,898,96,01/06/2019,,,1,0,0,3,5,7,0,,,02/07/2025,4,7,"116,29",,0,0,5573,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,636,1,05/06/2025,5,,898,96,01/04/2023,22/08/2023,,1,0,0,3,5,7,0,,,,18,2,105,,0,0,5573,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,636,1,05/06/2025,5,,898,96,10/05/2023,,,1,0,0,3,5,7,0,,,,127,1,"0,01",,0,0,5573,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,636,1,05/06/2025,5,,898,96,15/09/2023,,,1,0,0,3,5,7,0,,,03/09/2025,95,6,"52,06",,0,0,5573,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,636,1,05/06/2025,5,,898,96,01/10/2023,,,1,0,0,3,5,7,0,,,04/10/2025,117,5,"50,52",,0,0,5573,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,636,1,05/06/2025,5,,898,96,05/02/2024,05/02/2024,,1,0,0,3,5,7,0,,,,95,1,50,,0,0,5573,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,636,1,05/06/2025,5,,898,96,05/02/2024,05/02/2024,,1,0,0,3,5,7,0,,,,117,1,50,,0,0,5573,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,636,1,05/06/2025,5,,898,96,05/04/2024,,,1,0,0,3,5,7,0,,,03/04/2026,118,2,"208,58",,0,0,5573,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,636,1,05/06/2025,5,,898,96,05/05/2025,,,1,0,0,3,5,7,0,,,,4,2,"0,01",,0,0,5573,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,636,1,05/06/2025,5,,898,96,05/05/2025,,,1,0,0,3,5,7,0,,,,18,2,"0,01",,0,0,5573,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,811,1,10/06/2025,10,,1080,2,01/06/2019,,,1,1,0,2,5,133,0,,,02/07/2025,4,1,"260,73",,0,0,5011,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,863,1,03/06/2025,3,,1136,11,01/06/2019,,,1,1,0,2,5,133,0,,,02/07/2025,4,11,"99,19",,0,0,5858,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,863,1,03/06/2025,3,,1136,11,01/02/2023,,,1,1,0,2,5,133,0,,,04/02/2026,31,6,"124,64",,0,0,5858,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,863,1,03/06/2025,3,,1136,11,01/03/2023,,,1,1,0,2,5,133,0,,,03/03/2026,95,15,"120,92",,0,0,5858,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,863,1,03/06/2025,3,,1136,11,01/03/2023,,,1,1,0,2,5,133,0,,,03/03/2026,116,1,"284,47",,0,0,5858,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,1114,1,15/06/2025,15,,65,35,01/06/2019,,,1,1,0,2,5,133,0,,,02/07/2025,4,1,"323,57",,0,0,5409,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,1094,1,30/06/2025,30,,42,35,25/06/2019,,,1,0,0,3,5,7,0,,,02/07/2025,4,1,"317,58",,0,0,5389,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,222,1,28/06/2025,28,,429,33,30/06/2019,,,1,1,0,2,5,133,0,,,02/07/2025,4,7,"71,66",,0,0,6827,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,222,1,28/06/2025,28,,429,33,27/07/2022,28/08/2022,,1,1,0,2,5,133,0,,,,100,1,40,,0,0,6827,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,222,1,28/06/2025,28,,429,33,05/08/2023,,,1,1,0,2,5,133,0,,,01/08/2025,95,3,"51,91",,0,0,6827,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,1,1,20/06/2025,20,,11,32,01/07/2019,,,1,1,0,2,5,7,0,,,02/07/2025,4,1,"465,38",,0,0,7000,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,8,1,02/06/2025,2,,189,30,01/07/2019,,,1,1,0,2,5,133,0,,,02/07/2025,4,3,"41,47",,0,0,7184,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,20,1,02/06/2025,2,,201,30,01/07/2019,,,1,1,0,2,5,133,0,,,02/07/2025,4,4,"98,14",,0,0,7199,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,50,1,02/06/2025,2,,231,17,01/07/2019,,,1,1,0,2,5,133,0,,,02/07/2025,4,1,"320,59",,0,0,6334,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,56,1,02/06/2025,2,,80,17,01/07/2019,,,1,1,0,2,5,133,0,,,02/07/2025,4,3,"72,99",,0,0,6375,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,56,1,02/06/2025,2,,80,17,01/01/2022,,,1,1,0,2,5,133,0,,,03/01/2026,95,4,"18,1",,0,0,6375,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,56,1,02/06/2025,2,,80,17,02/01/2022,,,1,1,0,2,5,133,0,,,03/01/2026,117,3,"10,66",,0,0,6375,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,56,1,02/06/2025,2,,80,17,02/01/2024,,,1,1,0,2,5,133,0,,,03/01/2026,95,1,"40,43",,0,0,6375,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,56,1,02/06/2025,2,,80,17,01/08/2024,,,1,1,0,2,5,133,0,,,,95,2,40,,0,0,6375,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
